Total players,0,,,,,,,,,,
Global time,0,,SWARMED,IMPALED,GORED,OPENED,,,,,
Global kills,0,,PURGED,DESECRATED,SACRIFICED,BARBED,,,,,
Global gems,0,,INTOXICATED,ENVENMONATED,INFESTED,,,,,,
Global deaths,0,,INCARNATED,ANNIHILATED,FALLEN,,,,,,
Global accuracy,,,,,,,,,,,
,,,,,,,,,,,
Rank,Username,Time,Kills,Gems,Accuracy,Death type,Total time,Total kills,Total gems,Total accuracy,Total deaths
1,bowsr,1000.1998,1135,
2,Sojk,988.4027,229,
3,Kaijt,981.771,438,
4,KrosisOne,932.9829,1545,
5,A.N.T.4,932.7996,1677,
6,aircawn,930.7667,2316,
7,L0s Blizt0r,905.8395,27510,
8,ohsnaplol,905.4896,1029,
9,sjorsbw,889.5268,10210,
10,Hahmo,881.962,48687,
11,Moz,862.6334,4795,
12,taste the tu-tu-tupain,852.4359,362,
13,aiunzovovor,843.738,3294,
14,kraken,820.0438,19658,
15,Faad3e_,797.1327,68151,
16,Myrmeleon,773.7884,2076,
17,,754.4931,999999,
18,Blue53,741.163,10045,
19,xvlv,739.7467,21854,
20,Littlebert,732.9818,6425,
21,playthis,724.3505,66169,
22,lvl100WIZARD,682.7273,87056,
23,hikikon,668.6307,2596,
24,Sorrowth,666.7813,11356,(ALT)
25,Flight,635.0056,1292,
26,Cobajj,615.6937,5757,
27,oxysofts,613.3776,8806,
28,K?he,603.1801,0,
29,Stone Cold Jane Austen,570.0382,90565,(CHEATER)
30,UnnamedPlayer,560.2572,0,
31,Nagol2k,554.6253,7838,(CHEATER)
32,Arizart,537.1629,276,
33,Wakatau,533.0805,56979,
34,Nyhylanth,530.3479,2135,
35,?lu? ???g,525.9656,0,
36,A5,523.0664,52858,(CHEATER)
37,yokshu,522.3666,14201,
38,W Knight,521.7999,0,
39,Gold,520.1004,8186,
40,theDGC,519.8171,665,
41,Grink,517.3344,46102,
42,Evendium,515.5015,2248,
43,Kacpr,515.4515,93991,
44,bloop,513.252,75575,(based heavily on my memory)
45,ThePassiveDada,512.6522,21059,
46,BLOOD OMEN,512.4855,70082,(CHEATER)
47,uNKOE @ ?????,511.1525,68968,
48,P0cKeTFuLL,510.736,106722,
49,Flaming Bag of Shit,510.1861,81121,
50,Mr. Roadkill,508.9197,0,
